obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3772597826.68,14,3.50758004189,3779218469.86,3779218541.0,3772597826.68,0.0,internal_timestamp,67.9530029297,1563609026.68,33.8268013,1,7.91930007935,1026.67858391,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('1',)",3772597826.74,14,3.50762009621,3779218469.88,3779218541.0,3772597826.74,0.0,internal_timestamp,67.9550018311,1563609026.74,33.8273010254,0,7.91930007935,1026.67898531,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('2',)",3772597826.8,14,3.50750994682,3779218469.88,3779218541.0,3772597826.8,0.0,internal_timestamp,67.9560012817,1563609026.8,33.8261985779,0,7.91919994354,1026.67813938,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('3',)",3772597826.87,14,3.50758004189,3779218469.88,3779218541.0,3772597826.87,0.0,internal_timestamp,67.9530029297,1563609026.87,33.8269004822,0,7.91930007935,1026.67866175,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('4',)",3772597826.93,14,3.50762009621,3779218469.88,3779218541.0,3772597826.93,0.0,internal_timestamp,67.9550018311,1563609026.93,33.8273010254,0,7.91919994354,1026.6790001,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('5',)",3772597826.99,14,3.50675010681,3779218469.88,3779218541.0,3772597826.99,0.0,internal_timestamp,67.9599990845,1563609026.99,33.818901062,0,7.91839981079,1026.67254818,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('6',)",3772597827.05,14,3.50675010681,3779218469.88,3779218541.0,3772597827.05,0.0,internal_timestamp,67.9599990845,1563609027.05,33.8193016052,0,7.91790008545,1026.67293638,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('7',)",3772597827.12,14,3.50739002228,3779218469.88,3779218541.0,3772597827.12,0.0,internal_timestamp,67.9560012817,1563609027.12,33.8250999451,0,7.91900014877,1026.6773066,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('8',)",3772597827.18,14,3.50718998909,3779218469.88,3779218541.0,3772597827.18,0.0,internal_timestamp,67.9550018311,1563609027.18,33.8232002258,0,7.91879987717,1026.67584053,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('9',)",3772597827.24,14,3.5069899559,3779218469.88,3779218541.0,3772597827.24,0.0,internal_timestamp,67.9570007324,1563609027.24,33.8213005066,0,7.91839981079,1026.67441773,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
