obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.57500004768,29,13,1026.54931692,29,13,11,3767111115.27,3767111252.38,3748921610.68,44.637117,-124.302617,0.0,internal_timestamp,70.8280029297,29,29,1539932810.68,33.7953987122,29,29,1,8.69489955902,29,29,3748921610.68
"('1',)",3.57491993904,29,13,1026.5486743,29,13,11,3767111115.29,3767111252.38,3748921610.74,44.637117,-124.302617,0.0,internal_timestamp,70.8239974976,29,29,1539932810.74,33.7946014404,29,29,0,8.69489955902,29,29,3748921610.74
"('2',)",3.57479000092,29,13,1026.5474589,29,13,11,3767111115.29,3767111252.38,3748921610.8,44.637117,-124.302617,0.0,internal_timestamp,70.8190002441,29,29,1539932810.8,33.7930984497,29,29,0,8.69499969482,29,29,3748921610.8
"('3',)",3.57500004768,29,13,1026.54931692,29,13,11,3767111115.29,3767111252.38,3748921610.87,44.637117,-124.302617,0.0,internal_timestamp,70.8280029297,29,29,1539932810.87,33.7953987122,29,29,0,8.69489955902,29,29,3748921610.87
"('4',)",3.57491993904,29,13,1026.54857802,29,13,11,3767111115.29,3767111252.38,3748921610.93,44.637117,-124.302617,0.0,internal_timestamp,70.8239974976,29,29,1539932810.93,33.7944984436,29,29,0,8.69499969482,29,29,3748921610.93
"('5',)",3.57482004166,29,13,1026.54851732,29,13,11,3767111115.29,3767111252.38,3748921610.99,44.637117,-124.302617,0.0,internal_timestamp,70.8140029907,29,29,1539932810.99,33.7943000793,29,29,0,8.69410037994,29,29,3748921610.99
"('6',)",3.57505989075,29,13,1026.55119402,29,13,11,3767111115.29,3767111252.38,3748921611.06,44.637117,-124.302617,0.0,internal_timestamp,70.8069992065,29,29,1539932811.06,33.7975997925,29,29,0,8.69330024719,29,29,3748921611.06
"('7',)",3.57431006432,29,13,1026.54374781,29,13,11,3767111115.29,3767111252.38,3748921611.12,44.637117,-124.302617,0.0,internal_timestamp,70.8190002441,29,29,1539932811.12,33.7882995605,29,29,0,8.69470024109,29,29,3748921611.12
"('8',)",3.57406997681,29,13,1026.54206653,29,13,11,3767111115.29,3767111252.38,3748921611.18,44.637117,-124.302617,0.0,internal_timestamp,70.8180007935,29,29,1539932811.18,33.7860984802,29,29,0,8.69439983368,29,29,3748921611.18
"('9',)",3.57409000397,29,13,1026.54259169,29,13,11,3767111115.29,3767111252.38,3748921611.24,44.637117,-124.302617,0.0,internal_timestamp,70.8160018921,29,29,1539932811.24,33.7867012024,29,29,0,8.69400024414,29,29,3748921611.24
