obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3771100888.64,5,33.3768997192,3774706963.32,3774706965.18,3771100888.64,0.0,internal_timestamp,577.25,644971,1562112088,5.48029994965,3.33768997192,34.1171495818,1029.58555951,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3771100908.65,5,33.4542999268,3774706963.32,3774706965.18,3771100908.65,0.0,internal_timestamp,573.460021973,648028,1562112108,5.58199977875,3.34542999268,34.1041798555,1029.54438194,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3771100928.64,5,33.5694007874,3774706963.32,3774706965.18,3771100928.64,0.0,internal_timestamp,568.369995117,643938,1562112128,5.73330020905,3.35694007874,34.0845053013,1029.48516601,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3771100948.64,5,33.5806007385,3774706963.32,3774706965.18,3771100948.64,0.0,internal_timestamp,563.210021973,641398,1562112148,5.74770021439,3.35806007385,34.0852021605,1029.46013175,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3771100968.65,5,33.5719985962,3774706963.32,3774706965.18,3771100968.65,0.0,internal_timestamp,558.039978027,645978,1562112168,5.7404999733,3.35719985962,34.0852746812,1029.43748876,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3771100988.65,5,33.5737991333,3774706963.32,3774706965.18,3771100988.65,0.0,internal_timestamp,552.849975586,649834,1562112188,5.74529981613,3.35737991333,34.0850324599,1029.41287703,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3771101008.64,5,33.6236991882,3774706963.32,3774706965.19,3771101008.64,0.0,internal_timestamp,547.719970703,638171,1562112208,5.80789995193,3.36236991882,34.0809166361,1029.37764625,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3771101028.64,5,33.6534004211,3774706963.32,3774706965.19,3771101028.64,0.0,internal_timestamp,542.489990234,644113,1562112228,5.84800004959,3.36534004211,34.0766739073,1029.34489842,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('8',)",3771101048.65,5,33.6701011658,3774706963.32,3774706965.19,3771101048.65,0.0,internal_timestamp,537.260009766,650651,1562112248,5.87139987946,3.36701011658,34.0745534317,1029.31609043,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('9',)",3771101068.65,5,33.6743011475,3774706963.32,3774706965.19,3771101068.65,0.0,internal_timestamp,531.969970703,648451,1562112268,5.87799978256,3.36743011475,34.0752515625,1029.29151511,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('10',)",3771101088.64,5,33.6744003296,3774706963.32,3774706965.19,3771101088.64,0.0,internal_timestamp,526.710021973,643189,1562112288,5.88059997559,3.36744003296,34.0753352733,1029.26713798,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('11',)",3771101108.65,5,33.6636009216,3774706963.32,3774706965.19,3771101108.65,0.0,internal_timestamp,521.390014648,651897,1562112308,5.86969995499,3.36636009216,34.0767333608,1029.24535601,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('12',)",3771101128.65,5,33.6671981812,3774706963.32,3774706965.19,3771101128.65,0.0,internal_timestamp,516.099975586,648780,1562112328,5.87750005722,3.36671981812,34.0755521946,1029.21913304,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('13',)",3771101148.64,5,33.6575012207,3774706963.32,3774706965.19,3771101148.64,0.0,internal_timestamp,510.739990234,644727,1562112348,5.86859989166,3.36575012207,34.0762057702,1029.19630176,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('14',)",3771101168.65,5,33.6521987915,3774706963.32,3774706965.19,3771101168.65,0.0,internal_timestamp,505.359985352,649716,1562112368,5.86910009384,3.36521987915,34.0723820749,1029.1685744,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('15',)",3771101188.65,5,33.6538009644,3774706963.32,3774706965.19,3771101188.65,0.0,internal_timestamp,500.079986572,647876,1562112388,5.8736000061,3.36538009644,34.0722655752,1029.14366405,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('16',)",3771101208.64,5,33.654800415,3774706963.32,3774706965.19,3771101208.64,0.0,internal_timestamp,494.730010986,641853,1562112408,5.87729978561,3.3654800415,34.0723088891,1029.11866424,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('17',)",3771101228.65,5,33.6535987854,3774706963.32,3774706965.19,3771101228.65,0.0,internal_timestamp,489.420013428,645703,1562112428,5.87890005112,3.36535987854,34.0719635597,1029.09382431,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('18',)",3771101248.65,5,33.6587982178,3774706963.32,3774706965.19,3771101248.65,0.0,internal_timestamp,484.109985352,647220,1562112448,5.88800001144,3.36587982178,34.0712955745,1029.06771254,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('19',)",3771101268.65,5,33.6605987549,3774706963.32,3774706965.19,3771101268.65,0.0,internal_timestamp,478.739990234,650442,1562112468,5.89260005951,3.36605987549,34.0713488256,1029.04250113,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('20',)",3771101288.65,5,33.6613998413,3774706963.32,3774706965.19,3771101288.65,0.0,internal_timestamp,473.480010986,653567,1562112488,5.89709997177,3.36613998413,34.0703249802,1029.01695829,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('21',)",3771101308.65,5,33.6697006226,3774706963.32,3774706965.19,3771101308.65,0.0,internal_timestamp,468.149993896,650248,1562112508,5.90969991684,3.36697006226,34.0696449562,1028.99026732,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('22',)",3771101328.65,5,33.7030982971,3774706963.32,3774706965.19,3771101328.65,0.0,internal_timestamp,462.779998779,650325,1562112528,5.95249986649,3.37030982971,34.0669067618,1028.95768019,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
