obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",33.0471992493,1,0,1029.67239556,29,29,2,3.30471992493,29,29,3724598986.37,3724598986.42,3659558450.18,44.36829,-124.9528,0.0,34.162683646,29,29,internal_timestamp,576.489990234,29,29,178905,1450569650,5.06459999084,29,29,3659558450.18
"('1',)",33.0471000671,1,0,1029.67119617,29,29,2,3.30471000671,29,29,3724598986.37,3724598986.42,3659558461.19,44.36829,-124.9528,0.0,34.1624765189,29,29,internal_timestamp,576.270019531,29,29,186927,1450569661,5.06479978561,29,29,3659558461.19
"('2',)",33.0523986816,1,0,1029.66368307,29,29,2,3.30523986816,29,29,3724598986.37,3724598986.42,3659558472.18,44.36829,-124.9528,0.0,34.1606530186,29,29,internal_timestamp,575.179992676,29,29,181493,1450569672,5.07310009003,29,29,3659558472.18
"('3',)",33.0691986084,1,0,1029.65144699,29,29,2,3.30691986084,29,29,3724598986.37,3724598986.42,3659558483.19,44.36829,-124.9528,0.0,34.156105942,29,29,internal_timestamp,573.969970703,29,29,191412,1450569683,5.09709978104,29,29,3659558483.19
"('4',)",33.0752983093,1,0,1029.64191543,29,29,2,3.30752983093,29,29,3724598986.37,3724598986.42,3659558494.18,44.36829,-124.9528,0.0,34.154851566,29,29,internal_timestamp,572.359985352,29,29,184344,1450569694,5.10599994659,29,29,3659558494.18
"('5',)",33.0769004822,1,0,1029.63445459,29,29,2,3.30769004822,29,29,3724598986.37,3724598986.42,3659558505.19,44.36829,-124.9528,0.0,34.1550432719,29,29,internal_timestamp,570.770019531,29,29,191019,1450569705,5.10839986801,29,29,3659558505.19
"('6',)",33.0858001709,1,0,1029.62237183,29,29,2,3.30858001709,29,29,3724598986.37,3724598986.42,3659558516.19,44.36829,-124.9528,0.0,34.1524142206,29,29,internal_timestamp,568.969970703,29,29,187071,1450569716,5.12190008163,29,29,3659558516.19
"('7',)",33.1020011902,1,0,1029.60890756,29,29,2,3.31020011902,29,13,3724598986.37,3724598986.42,3659558527.19,44.36829,-124.9528,0.0,34.148727169,29,29,internal_timestamp,567.309997559,29,29,192786,1450569727,5.14459991455,29,29,3659558527.19
"('8',)",33.1116981506,1,0,1029.59903315,29,29,2,3.31116981506,29,13,3724598986.37,3724598986.42,3659558538.19,44.36829,-124.9528,0.0,34.1476230023,29,29,internal_timestamp,565.710021973,29,29,189157,1450569738,5.15740013123,29,29,3659558538.19
"('9',)",33.113899231,1,0,1029.59120506,29,29,2,3.3113899231,29,13,3724598986.37,3724598986.43,3659558549.19,44.36829,-124.9528,0.0,34.1472552152,29,29,internal_timestamp,564.16998291,29,29,185467,1450569749,5.16099977493,29,29,3659558549.19
