obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3659558450.18,2,33.0471992493,3724598986.37,3724598986.42,3659558450.18,0.0,internal_timestamp,576.489990234,178905,1450569650,5.06459999084,3.30471992493,34.162683646,1029.67239556,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3659558461.19,2,33.0471000671,3724598986.37,3724598986.42,3659558461.19,0.0,internal_timestamp,576.270019531,186927,1450569661,5.06479978561,3.30471000671,34.1624765189,1029.67119617,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3659558472.18,2,33.0523986816,3724598986.37,3724598986.42,3659558472.18,0.0,internal_timestamp,575.179992676,181493,1450569672,5.07310009003,3.30523986816,34.1606530186,1029.66368307,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3659558483.19,2,33.0691986084,3724598986.37,3724598986.42,3659558483.19,0.0,internal_timestamp,573.969970703,191412,1450569683,5.09709978104,3.30691986084,34.156105942,1029.65144699,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3659558494.18,2,33.0752983093,3724598986.37,3724598986.42,3659558494.18,0.0,internal_timestamp,572.359985352,184344,1450569694,5.10599994659,3.30752983093,34.154851566,1029.64191543,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3659558505.19,2,33.0769004822,3724598986.37,3724598986.42,3659558505.19,0.0,internal_timestamp,570.770019531,191019,1450569705,5.10839986801,3.30769004822,34.1550432719,1029.63445459,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3659558516.19,2,33.0858001709,3724598986.37,3724598986.42,3659558516.19,0.0,internal_timestamp,568.969970703,187071,1450569716,5.12190008163,3.30858001709,34.1524142206,1029.62237183,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3659558527.19,2,33.1020011902,3724598986.37,3724598986.42,3659558527.19,0.0,internal_timestamp,567.309997559,192786,1450569727,5.14459991455,3.31020011902,34.148727169,1029.60890756,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('8',)",3659558538.19,2,33.1116981506,3724598986.37,3724598986.42,3659558538.19,0.0,internal_timestamp,565.710021973,189157,1450569738,5.15740013123,3.31116981506,34.1476230023,1029.59903315,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('9',)",3659558549.19,2,33.113899231,3724598986.37,3724598986.43,3659558549.19,0.0,internal_timestamp,564.16998291,185467,1450569749,5.16099977493,3.3113899231,34.1472552152,1029.59120506,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
