obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.6116900444,29,13,1026.24895852,29,29,4,3716294556.31,3716294610.35,3692505526.69,44.6389,-124.2990333,0.0,internal_timestamp,69.4079971313,29,13,1483516726.69,33.5540008545,29,29,0,9.3545999527,29,29,3692505526.69
"('1',)",3.61167001724,29,13,1026.24890183,29,29,4,3716294556.31,3716294610.35,3692505526.75,44.6389,-124.2990333,0.0,internal_timestamp,69.408996582,29,13,1483516726.75,33.5539016724,29,29,0,9.35449981689,29,29,3692505526.75
"('2',)",3.61189007759,29,13,1026.25068287,29,29,4,3716294556.31,3716294610.35,3692505526.81,44.6389,-124.2990333,0.0,internal_timestamp,69.40599823,29,13,1483516726.81,33.5561981201,29,29,0,9.35449981689,29,29,3692505526.81
"('3',)",3.6116900444,29,13,1026.2490523,29,29,4,3716294556.31,3716294610.35,3692505526.88,44.6389,-124.2990333,0.0,internal_timestamp,69.4079971313,29,13,1483516726.88,33.5541000366,29,29,0,9.35449981689,29,29,3692505526.88
"('4',)",3.61167001724,29,13,1026.24890183,29,29,4,3716294556.31,3716294610.35,3692505526.94,44.6389,-124.2990333,0.0,internal_timestamp,69.408996582,29,13,1483516726.94,33.5539016724,29,29,0,9.35449981689,29,29,3692505526.94
"('5',)",3.61302995682,29,13,1026.25935964,29,29,4,3716294556.31,3716294610.35,3692505527.0,44.6389,-124.2990333,0.0,internal_timestamp,69.4100036621,29,13,1483516727.0,33.567401886,29,29,0,9.35509967804,29,29,3692505527.0
"('6',)",3.61370992661,29,13,1026.26415883,29,29,4,3716294556.31,3716294610.35,3692505527.07,44.6389,-124.2990333,0.0,internal_timestamp,69.4079971313,29,13,1483516727.07,33.5736999512,29,29,0,9.35579967499,29,29,3692505527.07
"('7',)",3.61194992065,29,13,1026.25096338,29,29,4,3716294556.31,3716294610.35,3692505527.13,44.6389,-124.2990333,0.0,internal_timestamp,69.40599823,29,13,1483516727.13,33.5565986633,29,29,0,9.3547000885,29,29,3692505527.13
"('8',)",3.61224007607,29,13,1026.25304613,29,29,4,3716294556.31,3716294610.35,3692505527.19,44.6389,-124.2990333,0.0,internal_timestamp,69.4069976807,29,13,1483516727.19,33.559299469,29,29,0,9.35490036011,29,29,3692505527.19
"('9',)",3.6126499176,29,13,1026.25603561,29,29,4,3716294556.31,3716294610.35,3692505527.25,44.6389,-124.2990333,0.0,internal_timestamp,69.4079971313,29,13,1483516727.25,33.5632019043,29,29,0,9.35529994965,29,29,3692505527.25
"('10',)",3.61311006546,29,13,1026.25932345,29,13,4,3716294556.31,3716294610.35,3692505527.32,44.6389,-124.2990333,0.0,internal_timestamp,69.4100036621,29,13,1483516727.32,33.5675010681,29,29,0,9.35579967499,29,29,3692505527.32
"('11',)",3.61354994774,29,13,1026.26235732,29,13,4,3716294556.31,3716294610.35,3692505527.38,44.6389,-124.2990333,0.0,internal_timestamp,69.4079971313,29,13,1483516727.38,33.5714988708,29,29,0,9.356300354,29,29,3692505527.38
