obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3772425002.68,14,3.50119996071,3779218469.02,3779218539.22,3772425002.68,0.0,internal_timestamp,69.2659988403,1563436202.68,33.8774986267,1,7.79580020905,1026.74258174,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('1',)",3772425002.74,14,3.50121998787,3779218469.04,3779218539.22,3772425002.74,0.0,internal_timestamp,69.2649993896,1563436202.74,33.8777999878,0,7.79570007324,1026.74282845,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('2',)",3772425002.81,14,3.50148010254,3779218469.04,3779218539.22,3772425002.81,0.0,internal_timestamp,69.2630004883,1563436202.81,33.8805007935,0,7.79589986801,1026.74491063,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('3',)",3772425002.87,14,3.50119996071,3779218469.04,3779218539.22,3772425002.87,0.0,internal_timestamp,69.2659988403,1563436202.87,33.8776016235,0,7.79570007324,1026.74267729,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('4',)",3772425002.93,14,3.50121998787,3779218469.04,3779218539.22,3772425002.93,0.0,internal_timestamp,69.2649993896,1563436202.93,33.8776016235,0,7.79589986801,1026.74264342,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('5',)",3772425002.99,14,3.49942994118,3779218469.04,3779218539.22,3772425002.99,0.0,internal_timestamp,69.263999939,1563436202.99,33.8647994995,0,7.7891998291,1026.73356837,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('6',)",3772425003.06,14,3.49904990196,3779218469.04,3779218539.22,3772425003.06,0.0,internal_timestamp,69.2679977417,1563436203.06,33.8652992249,0,7.78459978104,1026.73465273,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('7',)",3772425003.12,14,3.50132989883,3779218469.04,3779218539.22,3772425003.12,0.0,internal_timestamp,69.2630004883,1563436203.12,33.8801994324,0,7.79440021515,1026.7448938,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('8',)",3772425003.18,14,3.50099992752,3779218469.04,3779218539.22,3772425003.18,0.0,internal_timestamp,69.2659988403,1563436203.18,33.8787994385,0,7.7922000885,1026.74413071,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('9',)",3772425003.25,14,3.50043010712,3779218469.04,3779218539.22,3772425003.25,0.0,internal_timestamp,69.263999939,1563436203.25,33.8757019043,0,7.78910017014,1026.74214352,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('10',)",3772425003.31,14,3.49978995323,3779218469.04,3779218539.22,3772425003.31,0.0,internal_timestamp,69.263999939,1563436203.31,33.8717002869,0,7.78609991074,1026.73944088,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('11',)",3772425003.37,14,3.49926996231,3779218469.04,3779218539.22,3772425003.37,0.0,internal_timestamp,69.2679977417,1563436203.37,33.8680000305,0,7.7842001915,1026.73683194,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('12',)",3772425003.43,14,3.49909996986,3779218469.04,3779218539.22,3772425003.43,0.0,internal_timestamp,69.2659988403,1563436203.43,33.8669013977,0,7.78340005875,1026.73607725,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('13',)",3772425003.49,14,3.49904990196,3779218469.04,3779218539.22,3772425003.49,0.0,internal_timestamp,69.2649993896,1563436203.49,33.8666992188,0,7.78299999237,1026.73597248,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('14',)",3772425003.56,14,3.49903011322,3779218469.04,3779218539.22,3772425003.56,0.0,internal_timestamp,69.266998291,1563436203.56,33.8671989441,0,7.78240013123,1026.73646187,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('15',)",3772425003.62,14,3.49900007248,3779218469.04,3779218539.22,3772425003.62,0.0,internal_timestamp,69.266998291,1563436203.62,33.8679008484,0,7.7813000679,1026.73717405,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
